Title,Authors,Published,Link,Abstract_EN,Abstract_ZH,One_Sentence_Summary,Model_Type,HHH_Focus,Keywords
"When Style Breaks Safety: Defending Language Models Against Superficial
  Style Alignment","Yuxin Xiao, Sana Tonekaboni, Walter Gerych, Vinith Suriyakumar, Marzyeh Ghassemi",2025-06-09T05:57:39Z,http://arxiv.org/pdf/2506.07452v1,"Large language models (LLMs) can be prompted with specific styles (e.g.,
formatting responses as lists), including in jailbreak queries. Although these
style patterns are semantically unrelated to the malicious intents behind
jailbreak queries, their safety impact remains unclear. In this work, we seek
to understand whether style patterns compromise LLM safety, how superficial
style alignment increases model vulnerability, and how best to mitigate these
risks during alignment. We evaluate 32 LLMs across seven jailbreak benchmarks,
and find that malicious queries with style patterns inflate the attack success
rate (ASR) for nearly all models. Notably, ASR inflation correlates with both
the length of style patterns and the relative attention an LLM exhibits on
them. We then investigate superficial style alignment, and find that
fine-tuning with specific styles makes LLMs more vulnerable to jailbreaks of
those same styles. Finally, we propose SafeStyle, a defense strategy that
incorporates a small amount of safety training data augmented to match the
distribution of style patterns in the fine-tuning data. Across three LLMs and
five fine-tuning style settings, SafeStyle consistently outperforms baselines
in maintaining LLM safety.",大语言模型（LLMs）可以用特定的风格（例如，将响应格式化为列表）进行提示，包括在越狱查询中。虽然这些风格模式在语义上与越狱查询背后的恶意意图无关，但它们的安全影响仍不明确。在本工作中，我们试图了解风格模式是否破坏了LLM的安全性，表面风格对齐如何增加模型的脆弱性，以及在对齐过程中如何最好地缓解这些风险。我们评估了七个越狱基准下的32个LLMs，发现带有风格模式的恶意查询几乎对所有模型的攻击成功率（ASR）都有通胀。值得注意的是，ASR通胀与风格模式的长度和LLM对它们的相对注意力相关。然后，我们研究了表面风格对齐，发现使用特定风格的微调使LLMs更容易受到相同风格的越狱攻击。最后，我们提出了SafeStyle，一种防御策略，它将少量的安全训练数据增强以匹配微调数据中的风格模式分布。在三个LLMs和五个微调风格设置下，SafeStyle在保持LLM安全方面始终优于基线。,The paper investigates how style alignment in LLMs can increase vulnerability to jailbreak attacks and proposes a defense strategy called SafeStyle.,LLM,Harmless,"Style alignment, safety, jailbreak, defense strategy, LLM"
HSF: Defending against Jailbreak Attacks with Hidden State Filtering,"Cheng Qian, Hainan Zhang, Lei Sha, Zhiming Zheng",2024-08-31T06:50:07Z,http://arxiv.org/pdf/2409.03788v2,"With the growing deployment of LLMs in daily applications like chatbots and
content generation, efforts to ensure outputs align with human values and avoid
harmful content have intensified. However, increasingly sophisticated jailbreak
attacks threaten this alignment, aiming to induce unsafe outputs. Current
defense efforts either focus on prompt rewriting or detection, which are
limited in effectiveness due to the various design of jailbreak prompts, or on
output control and detection, which are computationally expensive as they
require LLM inference. Therefore, designing a pre-inference defense method that
resists diverse jailbreak prompts is crucial for preventing LLM jailbreak
attacks. We observe that jailbreak attacks, safe queries, and harmful queries
exhibit different clustering patterns within the LLM's hidden state
representation space. This suggests that by leveraging the LLM's hidden state
representational capabilities, we can analyze the LLM's forthcoming behavior
and proactively intervene for defense. In this paper, we propose a jailbreak
attack defense strategy based on a Hidden State Filter (HSF), a lossless
architectural defense mechanism that enables the model to preemptively identify
and reject adversarial inputs before the inference process begins. We activate
its defensive potential through an additional plugin module, effectively
framing the defense task as a classification problem. Experimental results on
two benchmark datasets, utilizing three different LLMs, show that HSF
significantly enhances resilience against six cutting-edge jailbreak attacks.
It significantly reduces the success rate of jailbreak attacks while minimally
impacting responses to benign user queries, with negligible inference overhead,
and outperforming defense baselines.Our code and data are available at
https://anonymous.4open.science/r/Hidden-State-Filtering-8652/",随着大型语言模型（LLM）在日常应用如聊天机器人和内容生成中的广泛部署，确保输出与人类价值观一致并避免有害内容的努力日益加强。然而，越来越复杂的越狱攻击威胁着这种对齐，旨在诱导不安全的输出。目前的防御措施要么集中在提示重写或检测上，由于越狱提示的各种设计，这些措施在有效性上受到限制，要么集中在输出控制和检测上，这些措施在计算上非常昂贵，因为它们需要LLM推理。因此，设计一种能够抵御各种越狱提示的预推理防御方法对于防止LLM越狱攻击至关重要。我们观察到，越狱攻击、安全查询和有害查询在LLM的隐藏状态表示空间中表现出不同的聚类模式。这表明，通过利用LLM的隐藏状态表示能力，我们可以分析LLM的即将到来的行为，并主动干预以进行防御。在本文中，我们提出了一种基于隐藏状态过滤器（HSF）的越狱攻击防御策略，这是一种无损的架构防御机制，使模型能够在推理过程开始之前预先识别和拒绝对抗性输入。我们通过一个额外的插件模块激活其防御潜力，有效地将防御任务框定为一个分类问题。在两个基准数据集上进行的实验结果，使用三种不同的LLM，表明HSF显著增强了对六种前沿越狱攻击的抵抗力。它显著降低了越狱攻击的成功率，对良性用户查询的响应影响最小，推理开销微乎其微，并优于防御基线。我们的代码和数据可在https://anonymous.4open.science/r/Hidden-State-Filtering-8652/获得。,The paper introduces a Hidden State Filter (HSF) to preemptively defend against jailbreak attacks on LLMs by analyzing hidden state representations.,LLM,Harmless,"Jailbreak attacks, Hidden State Filter, LLM defense, Harmful content, Pre-inference defense"
SATA: A Paradigm for LLM Jailbreak via Simple Assistive Task Linkage,"Xiaoning Dong, Wenbo Hu, Wei Xu, Tianxing He",2024-12-19T05:57:37Z,http://arxiv.org/pdf/2412.15289v4,"Large language models (LLMs) have made significant advancements across
various tasks, but their safety alignment remain a major concern. Exploring
jailbreak prompts can expose LLMs' vulnerabilities and guide efforts to secure
them. Existing methods primarily design sophisticated instructions for the LLM
to follow, or rely on multiple iterations, which could hinder the performance
and efficiency of jailbreaks. In this work, we propose a novel jailbreak
paradigm, Simple Assistive Task Linkage (SATA), which can effectively
circumvent LLM safeguards and elicit harmful responses. Specifically, SATA
first masks harmful keywords within a malicious query to generate a relatively
benign query containing one or multiple [MASK] special tokens. It then employs
a simple assistive task such as a masked language model task or an element
lookup by position task to encode the semantics of the masked keywords.
Finally, SATA links the assistive task with the masked query to jointly perform
the jailbreak. Extensive experiments show that SATA achieves state-of-the-art
performance and outperforms baselines by a large margin. Specifically, on
AdvBench dataset, with mask language model (MLM) assistive task, SATA achieves
an overall attack success rate (ASR) of 85% and harmful score (HS) of 4.57, and
with element lookup by position (ELP) assistive task, SATA attains an overall
ASR of 76% and HS of 4.43.",大语言模型（LLMs）在各种任务中取得了显著进展，但其安全对齐仍然是一个主要问题。探索越狱提示可以暴露LLMs的漏洞，并指导努力来保护它们。现有方法主要设计复杂的指令供LLM遵循，或者依赖于多次迭代，这可能会妨碍越狱的性能和效率。在本工作中，我们提出了一种新的越狱范式，简单的辅助任务链接（SATA），它可以有效地绕过LLM的安全措施并引发有害的响应。具体来说，SATA首先在恶意查询中掩盖有害关键字，以生成一个相对无害的查询，其中包含一个或多个[MASK]特殊令牌。然后，它使用简单的辅助任务（如掩码语言模型任务或按位置查找元素任务）来编码掩码关键字的语义。最后，SATA将辅助任务与掩码查询链接在一起，以共同执行越狱。广泛的实验表明，SATA实现了最先进的性能，并以大幅度超越基线。具体来说，在AdvBench数据集上，使用掩码语言模型（MLM）辅助任务，SATA实现了总体攻击成功率（ASR）为85%和有害分数（HS）为4.57，使用按位置查找元素（ELP）辅助任务，SATA实现了总体ASR为76%和HS为4.43。,"The paper introduces SATA, a method to jailbreak LLMs by linking simple assistive tasks with masked queries to elicit harmful responses.",LLM,Harmless,"LLM jailbreak, safety alignment, harmful responses, SATA, assistive task linkage"
"Is poisoning a real threat to LLM alignment? Maybe more so than you
  think","Pankayaraj Pathmanathan, Souradip Chakraborty, Xiangyu Liu, Yongyuan Liang, Furong Huang",2024-06-17T21:06:00Z,http://arxiv.org/pdf/2406.12091v4,"Recent advancements in Reinforcement Learning with Human Feedback (RLHF) have
significantly impacted the alignment of Large Language Models (LLMs). The
sensitivity of reinforcement learning algorithms such as Proximal Policy
Optimization (PPO) has led to new line work on Direct Policy Optimization
(DPO), which treats RLHF in a supervised learning framework. The increased
practical use of these RLHF methods warrants an analysis of their
vulnerabilities. In this work, we investigate the vulnerabilities of DPO to
poisoning attacks under different scenarios and compare the effectiveness of
preference poisoning, a first of its kind. We comprehensively analyze DPO's
vulnerabilities under different types of attacks, i.e., backdoor and
non-backdoor attacks, and different poisoning methods across a wide array of
language models, i.e., LLama 7B, Mistral 7B, and Gemma 7B. We find that unlike
PPO-based methods, which, when it comes to backdoor attacks, require at least
4\% of the data to be poisoned to elicit harmful behavior, we exploit the true
vulnerabilities of DPO more simply so we can poison the model with only as much
as 0.5\% of the data. We further investigate the potential reasons behind the
vulnerability and how well this vulnerability translates into backdoor vs
non-backdoor attacks.",最近，强化学习与人类反馈（RLHF）的进展显著影响了大型语言模型（LLM）的对齐。增强学习算法（如近端策略优化（PPO））的敏感性导致了直接策略优化（DPO）的新研究方向，它将RLHF视为监督学习框架。这些RLHF方法的实际应用增加了对其脆弱性的分析需求。在本研究中，我们研究了DPO在不同场景下对投毒攻击的脆弱性，并比较了偏好投毒的有效性，这是首次。我们全面分析了DPO在不同类型攻击（如后门和非后门攻击）和不同投毒方法下的脆弱性，涵盖了广泛的语言模型，如LLama 7B、Mistral 7B和Gemma 7B。我们发现，与PPO方法不同，后者在面对后门攻击时需要至少4%的数据被投毒以引发有害行为，我们更简单地利用DPO的真实脆弱性，以便只需0.5%的数据即可投毒模型。我们进一步调查了这种脆弱性背后的潜在原因以及这种脆弱性如何在后门与非后门攻击之间转化。,"The paper explores the vulnerabilities of Direct Policy Optimization (DPO) in Large Language Models (LLMs) to poisoning attacks, finding that DPO can be poisoned with as little as 0.5% of the data.",LLM,Harmless,"LLM alignment, poisoning attacks, DPO, RLHF, backdoor attacks"
Representation Bending for Large Language Model Safety,"Ashkan Yousefpour, Taeheon Kim, Ryan S. Kwon, Seungbeen Lee, Wonje Jeung, Seungju Han, Alvin Wan, Harrison Ngan, Youngjae Yu, Jonghyun Choi",2025-04-02T09:47:01Z,http://arxiv.org/pdf/2504.01550v2,"Large Language Models (LLMs) have emerged as powerful tools, but their
inherent safety risks - ranging from harmful content generation to broader
societal harms - pose significant challenges. These risks can be amplified by
the recent adversarial attacks, fine-tuning vulnerabilities, and the increasing
deployment of LLMs in high-stakes environments. Existing safety-enhancing
techniques, such as fine-tuning with human feedback or adversarial training,
are still vulnerable as they address specific threats and often fail to
generalize across unseen attacks, or require manual system-level defenses. This
paper introduces RepBend, a novel approach that fundamentally disrupts the
representations underlying harmful behaviors in LLMs, offering a scalable
solution to enhance (potentially inherent) safety. RepBend brings the idea of
activation steering - simple vector arithmetic for steering model's behavior
during inference - to loss-based fine-tuning. Through extensive evaluation,
RepBend achieves state-of-the-art performance, outperforming prior methods such
as Circuit Breaker, RMU, and NPO, with up to 95% reduction in attack success
rates across diverse jailbreak benchmarks, all with negligible reduction in
model usability and general capabilities.",大语言模型（LLMs）已经成为强大的工具，但它们固有的安全风险——从生成有害内容到更广泛的社会危害——提出了重大挑战。这些风险可以通过最近的对抗性攻击、微调脆弱性和LLMs在高风险环境中的部署而放大。现有的增强安全性的技术，如基于人类反馈的微调或对抗性训练，仍然容易受到攻击，因为它们只针对特定威胁，通常无法跨越未见过的攻击进行推广，或者需要手动系统级防御。本文介绍了RepBend，一种新颖的方法，它从根本上扰乱了LLMs中有害行为的基础表示，提供了一种可扩展的解决方案来增强（潜在的）安全性。RepBend将激活引导的概念——简单的向量算术，用于在推理期间引导模型的行为——引入基于损失的微调。通过广泛的评估，RepBend实现了最先进的性能，超越了先前的方法，如Circuit Breaker、RMU和NPO，在多种越狱基准测试中，攻击成功率减少高达95%，所有这些都几乎没有减少模型的可用性和一般能力。,"The paper presents RepBend, a novel approach to enhance the safety of LLMs by disrupting harmful behavior representations, achieving significant reductions in attack success rates.",LLM,Harmless,"LLM safety, harmful content, RepBend, activation steering, model alignment"
LLM Unlearning Should Be Form-Independent,"Xiaotian Ye, Mengqi Zhang, Shu Wu",2025-06-09T14:21:25Z,http://arxiv.org/pdf/2506.07795v1,"Large Language Model (LLM) unlearning aims to erase or suppress undesirable
knowledge within the model, offering promise for controlling harmful or private
information to prevent misuse. However, recent studies highlight its limited
efficacy in real-world scenarios, hindering practical adoption. In this study,
we identify a pervasive issue underlying many downstream failures: the
effectiveness of existing unlearning methods heavily depends on the form of
training samples and frequently fails to generalize to alternate expressions of
the same knowledge. We formally characterize this problem as Form-Dependent
Bias and systematically investigate its specific manifestation patterns across
various downstream tasks. To quantify its prevalence and support future
research, we introduce ORT, a novel benchmark designed to evaluate the
robustness of unlearning methods against variations in knowledge expression.
Results reveal that Form-Dependent Bias is both widespread and severe among
current techniques.
  We argue that LLM unlearning should be form-independent to address the
endless forms of downstream tasks encountered in real-world security-critical
scenarios. Towards this goal, we introduce Rank-one Concept Redirection (ROCR),
a novel training-free method, as a promising solution path. ROCR performs
unlearning by targeting the invariants in downstream tasks, specifically the
activated dangerous concepts. It is capable of modifying model parameters
within seconds to redirect the model's perception of a specific unlearning
target concept to another harmless concept. Extensive experiments demonstrate
that ROCR significantly improves unlearning effectiveness compared to
traditional methods while generating highly natural outputs.",大语言模型（LLM）的去学习旨在擦除或抑制模型中的不良知识，为控制有害或私人信息以防止滥用提供了希望。然而，最近的研究指出，其在实际场景中的有效性有限，阻碍了实际应用。在本研究中，我们识别出许多下游失败背后的一个普遍问题：现有去学习方法的有效性严重依赖于训练样本的形式，并且经常无法推广到相同知识的替代表达。我们将这个问题正式定义为形式依赖偏差，并系统地研究了其在各种下游任务中的具体表现模式。为了量化其普遍性并支持未来的研究，我们引入了ORT，一个新的基准，旨在评估去学习方法在知识表达变化方面的鲁棒性。结果表明，形式依赖偏差在当前技术中普遍且严重。我们认为，LLM的去学习应该是形式独立的，以应对实际安全关键场景中遇到的无尽形式的下游任务。为了实现这一目标，我们引入了Rank-one Concept Redirection（ROCR），一种新的无需训练的方法，作为一种有前途的解决方案路径。ROCR通过针对下游任务中的不变量，特别是激活的危险概念，来执行去学习。它能够在几秒钟内修改模型参数，将模型对特定去学习目标概念的感知重定向到另一个无害概念。广泛的实验表明，ROCR显著提高了去学习的有效性，同时生成高度自然的输出。,The paper introduces a new method called ROCR for form-independent unlearning in LLMs to address harmful information more effectively.,LLM,Harmless,"Unlearning, Harmful Information, Form-Dependent Bias, ROCR, LLM Alignment"
"Reinforcing Multimodal Understanding and Generation with Dual
  Self-rewards","Jixiang Hong, Yiran Zhang, Guanzhong Wang, Yi Liu, Ji-Rong Wen, Rui Yan",2025-06-09T17:38:45Z,http://arxiv.org/pdf/2506.07963v1,"Building upon large language models (LLMs), recent large multimodal models
(LMMs) unify cross-model understanding and generation into a single framework.
However, LMMs still struggle to achieve accurate image-text alignment, prone to
generating text responses contradicting the visual input or failing to follow
the text-to-image prompts. Current solutions require external supervision
(e.g., human feedback or reward models) and only address unidirectional
tasks-either understanding or generation. In this work, based on the
observation that understanding and generation are inverse dual tasks, we
introduce a self-supervised dual reward mechanism to reinforce the
understanding and generation capabilities of LMMs. Specifically, we sample
multiple outputs for a given input in one task domain, then reverse the
input-output pairs to compute the dual likelihood of the model as self-rewards
for optimization. Extensive experimental results on visual understanding and
generation benchmarks demonstrate that our method can effectively enhance the
performance of the model without any external supervision, especially achieving
remarkable improvements in text-to-image tasks.",基于大型语言模型（LLMs），最近的大型多模态模型（LMMs）将跨模态理解和生成统一到一个框架中。然而，LMMs 仍然难以实现准确的图像-文本对齐，容易生成与视觉输入矛盾的文本响应或无法遵循文本到图像的提示。目前的解决方案需要外部监督（例如人类反馈或奖励模型），并且只解决单向任务——理解或生成。在本工作中，基于理解和生成是逆向双任务的观察，我们引入了自监督双奖励机制来增强LMMs的理解和生成能力。具体来说，我们为一个任务域中的给定输入采样多个输出，然后反转输入-输出对，计算模型的双重似然性作为自奖励进行优化。在视觉理解和生成基准上的广泛实验结果表明，我们的方法可以在没有任何外部监督的情况下有效提高模型的性能，特别是在文本到图像任务中取得了显著的改进。,The paper introduces a self-supervised dual reward mechanism to improve the alignment between text and image in large multimodal models.,LMM,"Helpful, Harmless","Multimodal models, alignment, self-supervised, text-to-image, image-text"
Binary Classifier Optimization for Large Language Model Alignment,"Seungjae Jung, Gunsoo Han, Daniel Wontae Nam, Kyoung-Woon On",2024-04-06T15:20:59Z,http://arxiv.org/pdf/2404.04656v2,"In real-world services such as ChatGPT, aligning models based on user
feedback is crucial for improving model performance. However, due to the
simplicity and convenience of providing feedback, users typically offer only
basic binary signals, such as 'thumbs-up' or 'thumbs-down'. Most existing
alignment research, on the other hand, relies on preference-based approaches
that require both positive and negative responses as a pair. We propose Binary
Classifier Optimization (BCO), a technique that effectively aligns LLMs using
only binary feedback. BCO trains a binary classifier, where the logit serves as
an implicit reward, effectively minimizing the Direct Preference Optimization
(DPO) loss. We demonstrate that the binary cross-entropy loss employed in
classifier training acts as an upper bound for the DPO loss. Additionally, a
novel reward shift technique further minimizes the gap between the losses. We
validate our methodology in two settings: first, on a paired preference
dataset, where our method performs on par with DPO; and second, on a Likert-5
scale annotation dataset which stems from real users' queries. Our model
consistently demonstrates effective and robust alignment across four base LLMs
and three different datasets, showcasing the strength of our approach to
learning from binary signals.",在现实世界的服务中，如ChatGPT，基于用户反馈的模型对齐对于提高模型性能至关重要。然而，由于提供反馈的简单和便利，用户通常只提供基本的二元信号，如“点赞”或“点踩”。大多数现有的对齐研究，另一方面，依赖于需要成对的正面和负面响应的偏好方法。我们提出了二元分类器优化（BCO），一种有效利用仅二元反馈对齐LLM的技术。BCO训练一个二元分类器，其中的logit作为隐式奖励，有效地最小化了直接偏好优化（DPO）损失。我们证明了分类器训练中使用的二元交叉熵损失作为DPO损失的上界。此外，一种新颖的奖励移位技术进一步最小化了损失之间的差距。我们在两种设置中验证了我们的方法：首先，在一个配对偏好数据集上，我们的方法与DPO表现相当；其次，在一个来自真实用户查询的Likert-5量表注释数据集上。我们的模型在四个基础LLM和三个不同数据集上始终表现出有效和稳健的对齐，展示了我们的方法从二元信号中学习的力量。,"The paper introduces Binary Classifier Optimization (BCO), a method for aligning large language models using only binary feedback, and demonstrates its effectiveness across various datasets and models.",LLM,"Helpful, Harmless","Binary feedback, LLM alignment, Binary Classifier Optimization, Direct Preference Optimization, reward shift"
Beyond Numeric Rewards: In-Context Dueling Bandits with LLM Agents,"Fanzeng Xia, Hao Liu, Yisong Yue, Tongxin Li",2024-07-02T02:18:14Z,http://arxiv.org/pdf/2407.01887v4,"In-Context Reinforcement Learning (ICRL) is a frontier paradigm to solve
Reinforcement Learning (RL) problems in the foundation model era. While ICRL
capabilities have been demonstrated in transformers through task-specific
training, the potential of Large Language Models (LLMs) out-of-the-box remains
largely unexplored. This paper investigates whether LLMs can generalize
cross-domain to perform ICRL under the problem of Dueling Bandits (DB), a
stateless preference-based RL setting. We find that the top-performing LLMs
exhibit a notable zero-shot capacity for relative decision-making, which
translates to low short-term weak regret across all DB environment instances by
quickly including the best arm in duels. However, an optimality gap still
exists between LLMs and classic DB algorithms in terms of strong regret. LLMs
struggle to converge and consistently exploit even when explicitly prompted to
do so, and are sensitive to prompt variations. To bridge this gap, we propose
an agentic flow framework: LLM with Enhanced Algorithmic Dueling (LEAD), which
integrates off-the-shelf DB algorithm support with LLM agents through
fine-grained adaptive interplay. We show that LEAD has theoretical guarantees
inherited from classic DB algorithms on both weak and strong regret. We
validate its efficacy and robustness even with noisy and adversarial prompts.
The design of such an agentic framework sheds light on how to enhance the
trustworthiness of general-purpose LLMs generalized to in-context
decision-making tasks.",即时强化学习（ICRL）是解决基础模型时代强化学习（RL）问题的前沿范式。虽然ICRL能力已经通过特定任务的训练在变压器中得到了展示，但大型语言模型（LLMs）的潜力仍然大部分未被探索。本文研究了LLMs是否能够跨域泛化以在决斗带（DB）问题下执行ICRL，这是一个无状态偏好基于RL设置。我们发现，表现最好的LLMs在相对决策中表现出显著的零样本能力，这转化为在所有DB环境实例中快速包含最佳手臂的低短期弱悔恨。然而，LLMs和经典DB算法之间仍然存在最优性差距，特别是在强悔恨方面。LLMs在明确提示下仍然难以收敛和一致地利用，并且对提示变化敏感。为了弥合这一差距，我们提出了一个代理流框架：带有增强算法决斗的LLM（LEAD），它通过细粒度的适应性互动将现成的DB算法支持与LLM代理集成。我们展示了LEAD在弱悔恨和强悔恨方面都具有从经典DB算法继承的理论保证。我们验证了其在噪声和对抗性提示下的有效性和鲁棒性。设计这样的代理框架为如何增强泛化到即时决策任务的通用LLMs的可信度提供了启示。,The paper explores the use of LLMs in reinforcement learning tasks and proposes a framework to enhance their decision-making capabilities and trustworthiness.,LLM,Helpful,"LLM, Reinforcement Learning, Decision-Making, Alignment, Trustworthiness"
RLHS: Mitigating Misalignment in RLHF with Hindsight Simulation,"Kaiqu Liang, Haimin Hu, Ryan Liu, Thomas L. Griffiths, Jaime Fernández Fisac",2025-01-15T06:33:15Z,http://arxiv.org/pdf/2501.08617v3,"While Reinforcement Learning from Human Feedback (RLHF) has shown promise in
aligning generative AI, we present empirical evidence that it can also cause
severe, systematic misalignment. We hypothesize that this stems from evaluator
feedback depending on downstream outcome predictions (foresight) that can be
influenced by the AI's output, inducing Goodhart's law dynamics. We present a
theoretical analysis showing that conditioning evaluator feedback on downstream
observations (hindsight) inhibits this effect by decoupling the alignment
signal from potentially compromised predictions--crucially, the result holds
even if the observed outcomes are sampled from the AI's own world model.
Building on this insight, we introduce Reinforcement Learning from Hindsight
Simulation (RLHS), which presents plausible simulated outcomes to evaluators
before eliciting feedback. We validate RLHS across three consultancy
settings--marketplace interactions, restaurant recommendations, and online
course advising--using both online (PPO) and offline (DPO) fine-tuning methods,
and show that it substantially improves alignment over RLHF in experiments and
human evaluations. We perform post-hoc benchmark evaluations on TruthfulQA,
HaluEval, and TrustLLM, finding that even after single-task fine-tuning, RLHF
misalignment persists, whereas RLHS consistently outperforms baselines and
demonstrates robust alignment generalization. The project webpage and code are
available at https://rl-hindsight.github.io.",尽管强化学习从人类反馈（RLHF）在对齐生成人工智能方面表现出前景，但我们提出了实证证据表明，它也可能导致严重的系统性不一致。我们假设这源于评估者反馈依赖于下游结果预测（远见），这些预测可以受到人工智能输出的影响，从而引发Goodhart定律动态。我们提出了一种理论分析，表明通过将评估者反馈条件化为下游观察（回顾）来抑制这种效应，通过将对齐信号与可能受损的预测解耦--关键是，即使观察到的结果是从人工智能的世界模型中采样的，结果也成立。基于这一见解，我们引入了强化学习从回顾模拟（RLHS），它在获取反馈之前向评估者呈现可信的模拟结果。我们在三个咨询设置中验证了RLHS--市场交易、餐馆推荐和在线课程咨询--使用在线（PPO）和离线（DPO）微调方法，并显示在实验和人类评估中，它在实验中显著改善了对齐，优于RLHF。我们对TruthfulQA、HaluEval和TrustLLM进行了事后基准评估，发现即使在单任务微调后，RLHF不一致仍然存在，而RLHS始终优于基线，并显示出稳健的对齐泛化。项目网页和代码可在https://rl-hindsight.github.io上找到。,"The paper introduces RLHS, a method that uses hindsight simulation to improve the alignment of generative AI models by mitigating misalignment issues in RLHF.",LLM,"Helpful, Harmless","RLHF, Misalignment, Hindsight Simulation, Alignment, Generative AI"
